DESCRIPTION,CRITÈRES D'ACCEPTATION,STATUS,Sous-élément,élément parent
"En tant qu’utilisateur, je veux pouvoir changer mon image de profil, afin de personnaliser mon compte.","Étant donné que je suis sur ma page profil
Alors je vois l’image de profil actuelle affichée
Et un bouton ou une icône ""Modifier l’image"" est disponible

Étant donné que je clique sur ""Modifier l’image""
Quand je téléverse une nouvelle image valide
Et que je valide
Alors la nouvelle image de profil est enregistrée et affichée immédiatement

Étant donné que je téléverse une image
Quand le format ou la taille ne respecte pas les contraintes définies (par exemple poids maximal ou type de fichier)
Alors un message d’erreur m’indique les règles à respecter",,,
"En tant qu’utilisateur, je veux pouvoir changer mon mot de passe, afin de sécuriser mon compte.","Étant donné que je suis sur ma page profil
Quand je clique sur le bouton ""Changer le mot de passe""
Alors un formulaire spécifique s’affiche avec les champs :
 - Ancien mot de passe
 - Nouveau mot de passe
 - Confirmation du nouveau mot de passe

Étant donné que je remplis correctement tous les champs du formulaire
Quand je valide le changement
Alors le mot de passe est mis à jour
Et un message de confirmation s’affiche

Étant donné que je remplis le formulaire avec des erreurs (par exemple ancien mot de passe incorrect ou confirmation non identique)
Quand je valide
Alors un message d’erreur m’indique précisément le problème",,,
"En tant qu’utilisateur, je veux pouvoir modifier les informations de mon profil, afin de les maintenir à jour.","Étant donné que je suis sur ma page profil
Quand je clique sur le bouton ""Modifier""
Alors un formulaire s’affiche pré-rempli avec mes informations actuelles

Étant donné que je modifie une ou plusieurs informations dans le formulaire
Quand je valide les changements
Alors les nouvelles informations sont enregistrées
Et elles sont immédiatement visibles sur ma page profil

Étant donné que je suis sur le formulaire de modification
Quand je tente de valider sans renseigner les champs obligatoires (par exemple le nom ou l’adresse e-mail)
Alors un message d’erreur s’affiche m’indiquant les champs manquants",,,
"En tant qu’utilisateur, je veux voir ma page profil, afin de consulter mes informations personnelles.","Étant donné que je suis connecté
Quand j’accède à ma page profil
Alors je vois mes informations personnelles affichées, incluant :
- Nom
- Adresse e-mail
- Rôle (élève, tuteur)
- Photo de profil",,,
"En tant qu’utilisateur, je veux voir combien de messages je n’ai pas encore lus, afin de répondre rapidement à mes correspondants.","Étant donné que je consulte mon tableau de bord
Alors je vois clairement le nombre total de messages non lus

Étant donné que je consulte mon tableau de bord
Alors je vois un lien ou un bouton permettant d’accéder directement à la messagerie ou au chat

Étant donné que des messages sont lus ou que de nouveaux messages arrivent
Alors le compteur de messages non lus se met à jour en temps réel
Ou il se met à jour au rechargement de la page",,,
"En tant qu’utilisateur, je veux voir les événements ou rendez-vous à venir, afin de me préparer à temps.","Étant donné que je consulte la section des événements à venir
Alors je vois la liste des événements prévus pour la semaine (ou selon la période personnalisée définie)

Étant donné que des événements sont listés
Alors chaque événement affiche le titre, la date et l’heure

Étant donné que je consulte la section des événements à venir
Alors je vois un lien ou un bouton permettant d’accéder au calendrier complet

Étant donné qu’aucun événement n’est prévu dans la période définie
Alors un message s’affiche indiquant ""Pas d’événements prévus”",,,
"En tant qu’utilisateur, je veux voir un résumé de mes tâches, afin de savoir ce qu’il me reste à faire rapidement.","
Étant donné que j’ai des tâches en cours
Quand je consulte le résumé des tâches
Alors je vois une liste des 3 à 5 prochaines tâches (ou des plus urgentes)

Étant donné que je consulte le résumé des tâches
Quand je clique sur une tâche dans la liste
Alors je suis redirigé vers la page de gestion des tâches correspondante

Étant donné que je consulte le résumé des tâches
Et qu’aucune tâche n’est en cours
Alors un message s’affiche indiquant ""Aucune tâche à faire”",,,
"En tant qu’élève ou tuteur, Je veux voir un tableau de bord personnalisé, Afin de visualiser rapidement les informations clés de mon compte.","Étant donné que je suis connecté en tant qu’élève ou bénévole
Quand je me connecte à mon compte ou que je clique sur le menu ""Tableau de bord""
Alors le tableau de bord s’affiche

Étant donné que je consulte le tableau de bord
Alors je vois les sections suivantes :
Récapitulatif des tâches
Liste des prochains événements
Compteur de messages non lus

Étant donné que je consulte le tableau de bord
Alors le contenu affiché est personnalisé selon mon profil (élève ou bénévole)
Et seules les informations qui me concernent sont affichées",,,
"En tant que tuteur, je veux modifier une tâche que j’ai créée pour un élève, afin de corriger ou ajuster un objectif donné.","Étant donné que je consulte la liste des tâches d’un élève
Alors je vois un bouton ou une icône ""Modifier"" uniquement sur les tâches que j’ai moi-même créées
Et je ne vois pas de bouton ""Modifier"" sur les tâches créées par l’élève

Étant donné que je clique sur le bouton ""Modifier"" d’une de mes tâches
Alors un formulaire s’affiche pré-rempli avec le titre, la description et l’échéance actuels de la tâche

Étant donné que je suis sur le formulaire de modification d’une de mes tâches
Et que je modifie au moins un champ (titre, description ou échéance)
Quand je valide le formulaire
Alors les modifications sont enregistrées
Et la tâche mise à jour est immédiatement visible dans la liste des tâches de l’élève

Étant donné que je suis sur le formulaire de modification d’une de mes tâches
Quand je tente de valider sans renseigner le titre ou l’échéance
Alors un message d’erreur s’affiche indiquant que le titre et l’échéance sont obligatoires",,,
"En tant que tuteur, je veux supprimer une tâche que j’ai créée pour un élève, afin de corriger ou annuler un objectif donné.","
Étant donné que je consulte la liste des tâches d’un élève
Alors je vois un bouton ou une icône ""Supprimer"" uniquement sur les tâches que j’ai moi-même créées
Et je ne vois pas de bouton ""Supprimer"" sur les tâches créées par l’élève

Étant donné que je clique sur le bouton ""Supprimer"" d’une de mes tâches
Alors une confirmation de suppression m’est demandée

Étant donné qu’une confirmation de suppression est affichée
Quand je confirme la suppression
Alors la tâche disparaît immédiatement de la liste des tâches de l’élève",,,
